"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
504330;237;2;1;2;461.81887994676;;;;1;;;1;;;;;;6;1;;;;;;;;;;;;;;;;3;;2;2;2;1;;;;;;;9;5;"1";2;;2;;;;;3
504331;237;2;1;2;640.68192980555;;;;1;;;1;;;;;;2;1;;;;;;;;;1;;;;;;;;2;2;2;2;1;;;;;;;9;4;"1";2;;2;;;;;3
504335;237;3;1;3;489.357548713348;;;;1;;;1;;;;;;2;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;5;"1";2;;2;;;;;6
504354;237;1;1;1;294.275512221214;;;;;;2;1;;;;;;8;1;;;;;;;;1;1;;;;;;;;9;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;1
504356;237;2;1;2;325.33954403249;;;;;;2;1;;;;;;3;;;;;;;;2;;;;;;;;;3;;1;2;2;1;;;;;;;6;4;"1";2;;2;;;;;2
504369;237;1;1;1;327.337333597067;;;;1;;;;;;1;;;1;;;;1;;;;;;;;1;;;;;;2;2;2;2;1;;;;;;;2;5;"2";1;2;2;;;;;3
504369;237;3;1;3;327.337333597067;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;9;3;"2";2;;2;;;;;6
504369;237;4;1;4;327.337333597067;1;;;;;;;;;1;;;4;;;1;1;;;;;1;;;1;;1;;;;1;1;1;2;1;;;;;;;7;4;"2";2;;2;;;;;2
504436;237;1;1;1;343.525105935305;;;;;;2;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;;;;;;;9;;4;"1";2;;2;;;;;1
504436;237;2;1;2;343.525105935305;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;2;;;2;2;2;1;;;;;;;1;4;"2";2;;2;;;;;6
