"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
504730;237;1;1;1;1533.14152121283;11;1;6;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;4;2
504772;237;1;1;1;85.0467084913309;8;1;6;2;2;2;1;2;1;1;1;2;2;2;2;2;2;1;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
504858;237;1;1;1;83.8254336511179;11;1;1;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;;;;;;3;2
504859;237;1;1;1;73.8166298991137;6;1;3;2;1;2;2;2;4;3;2;;;;;;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;4;1;;;2
504925;237;1;1;1;561.90877460884;10;1;1;1;1;2;2;2;5;9;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;5;2
505034;237;1;1;1;887.042117212494;7;1;1;2;1;2;2;2;5;2;2;;;;;;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;1;2;2;1;1;1;5;1;;;2
505039;237;1;1;1;838.379805521721;1;1;1;2;1;2;1;2;5;9;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2
505073;237;1;1;1;1179.95654255476;4;1;1;1;2;2;1;2;5;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;4;;4;;;;2
505239;237;1;1;1;90.8028954973894;8;1;6;2;1;2;2;2;1;4;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;4;2
505241;237;1;1;1;71.5719705911522;1;1;6;2;2;2;1;2;2;9;2;;;;;;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;5;2
505265;237;1;1;1;98.2825969763579;9;1;6;2;1;2;1;2;3;4;1;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
505284;237;1;1;1;139.658452599903;1;1;1;2;1;1;2;2;3;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
505296;237;1;1;1;88.6404474735534;3;1;9;2;1;1;2;2;4;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
505312;237;1;1;1;121.984192943561;11;1;6;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;1;2
505345;237;1;1;1;370.903246756107;1;1;1;1;2;1;2;2;3;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;4;2
505406;237;1;1;1;233.072478485928;10;1;2;1;2;1;1;2;4;2;2;;;;;;1;2;2;2;2;2;;;;;;;;;;;;1;2;1;2;1;1;1;2;2;4;;2
505490;237;1;1;1;1008.58825743811;10;1;1;2;2;1;2;2;3;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
505523;237;1;1;1;54.5304424212139;6;1;1;1;1;1;2;2;5;3;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;3;1;5;2;4;;2
505588;237;1;1;1;69.1482660696977;5;1;3;1;2;2;2;2;1;3;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
505607;237;1;1;1;68.0068760418858;10;1;6;1;1;2;1;2;4;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
505615;237;1;1;1;56.4227629063958;3;1;1;1;2;1;2;2;6;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;2;2;2;2;2;1;1;2;1;1;2;1;2;2;1;;2
505634;237;1;1;1;67.7005409072748;8;1;1;1;2;1;2;2;4;1;1;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;2;1;;;2
505675;237;1;1;1;70.5264229504731;9;1;6;1;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
505678;237;1;1;1;59.7732538207445;10;1;7;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;10;2
505691;237;1;1;1;54.2420492525233;3;1;4;2;2;1;2;2;2;3;1;1;2;2;1;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;1;1;4;1;;;2
505713;237;1;1;1;331.203955200562;6;1;2;1;2;2;2;2;3;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;5;2
505824;237;1;1;1;2275.303792594;11;1;6;2;2;2;1;2;5;2;1;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
505864;237;1;1;1;690.219494779221;11;1;3;2;2;2;2;1;2;3;2;;;;;;2;2;2;2;2;1;1;2;1;2;1;2;2;2;2;2;2;2;;2;2;2;;;;;;8;2
506027;237;1;1;1;105.059659659661;10;1;1;2;1;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;2;2;2;2;;;;;;6;2
