"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P587";"P1313";"P1311";"P1308";"P588";"P1306";"P1226S1";"P1226S2";"P1225";"P1298";"P1297";"P1601";"P1294";"P589";"P590";"P1112";"P1602";"P1603";"P1227"
514946;237;1;1;1;566.869974481223;"3";1;2;3;1;2;;;2;1;2;1;1;3;3;2;1;;
515035;237;3;1;3;1026.94998011207;"6";1;3;4;1;2;;;6;1;4;2;2;;;;;;6
515199;237;1;1;1;75.7534428848056;"12";1;1;1;8;2;;;2;2;;2;2;;;;;;6
515208;237;1;1;1;74.6944203850602;"9";1;9;4;1;2;;;6;1;1;2;2;;;;;;6
515246;237;3;1;3;75.9162466651119;"12";1;1;4;1;1;1;1;2;1;4;1;1;3;3;3;1;;
515278;237;1;1;1;58.8179202280608;"11";1;7;4;3;2;;;6;2;;2;2;;;;;;6
515407;237;1;1;1;265.914168720476;"7";1;8;4;3;1;1;2;2;2;;2;2;;;;;;3
515554;237;1;1;1;285.236058606968;"12";1;7;4;1;2;;;6;1;4;2;2;;;;;;6
515558;237;5;2;1;274.317020522026;"10";1;3;4;3;2;;;6;1;4;2;2;;;;;;6
515559;237;7;1;7;346.243022144213;"2";1;2;4;1;2;;;1;1;5;2;2;;;;;;1
515564;237;1;1;1;276.065345813144;"11";1;2;4;1;2;;;3;1;3;1;2;;;;;;6
515685;237;2;1;2;39.5162734134292;"11";1;7;4;6;2;;;6;2;;2;2;;;;;;4
515699;237;2;1;2;41.226423326696;"2";1;4;3;1;1;2;1;2;1;4;1;1;1;3;3;1;;
515722;237;3;1;3;43.1368281282849;"12";1;9;3;1;2;;;6;2;;2;2;;;;;;6
515916;237;2;1;2;69.9749872646682;"8";1;7;4;2;1;2;1;2;2;;2;1;3;3;2;1;;
516003;237;2;1;2;65.8701083518304;"9";1;4;3;1;2;;;1;2;;2;2;;;;;;6
516079;237;1;1;1;67.5253434261532;"12";1;1;2;4;1;2;2;1;1;3;2;2;;;;;;4
516145;237;3;1;3;299.441380700991;"12";1;7;2;1;2;;;4;1;4;2;2;;;;;;3
516161;237;3;1;3;335.90520950245;"2";1;1;4;1;2;;;6;2;;2;2;;;;;;6
516304;237;1;1;1;29.1077885439834;"7";1;7;4;2;2;;;3;2;;2;2;;;;;;8
516934;237;2;1;2;618.688703280171;"5";1;2;2;1;2;;;6;1;5;2;2;;;;;;4
516957;237;2;1;2;329.609282297655;"3";1;7;3;1;2;;;6;2;;2;2;;;;;;6
516999;237;1;1;1;765.129361423212;"9";1;8;2;1;1;2;2;4;2;;2;2;;;;;;3
517037;237;4;1;4;1168.98048963413;"8";1;1;3;2;2;;;6;1;2;2;2;;;;;;6
